11:52:48 | root | INFO MainMenu: start running
11:55:51 | root | INFO MainMenu: PLAY
11:55:51 | root | INFO Player created!
11:55:51 | root | DEBUG add Player movement
11:55:51 | root | DEBUG size_x: 73
11:55:51 | root | DEBUG size_y: 201
11:55:51 | root | INFO GameStart: render again
11:55:51 | root | INFO Level2 | start run
11:55:52 | root | INFO Change screen!
11:55:52 | root | INFO GameStart: render again
11:55:52 | root | ERROR Backup: updating without a item to run!
11:58:07 | root | INFO MainMenu: start running
11:58:07 | root | INFO MainMenu: PLAY
11:58:07 | root | INFO Player created!
11:58:07 | root | DEBUG add Player movement
11:58:07 | root | DEBUG size_x: 73
11:58:07 | root | DEBUG size_y: 201
11:58:07 | root | INFO GameStart: render again
11:58:07 | root | INFO Level2 | start run
11:59:48 | root | INFO MainMenu: start running
11:59:48 | root | INFO MainMenu: PLAY
11:59:48 | root | INFO Player created!
11:59:48 | root | DEBUG add Player movement
11:59:48 | root | DEBUG size_x: 73
11:59:48 | root | DEBUG size_y: 201
11:59:48 | root | INFO GameStart: render again
11:59:48 | root | INFO Level2 | start run
11:59:52 | root | DEBUG spawn enemy
11:59:55 | root | INFO 0.010066
11:59:56 | root | DEBUG spawn enemy
11:59:57 | root | INFO Change screen!
11:59:57 | root | INFO GameStart: render again
11:59:57 | root | ERROR Backup: updating without a item to run!
12:00:18 | root | INFO MainMenu: start running
12:00:19 | root | INFO MainMenu: PLAY
12:00:19 | root | INFO Player created!
12:00:19 | root | DEBUG add Player movement
12:00:19 | root | DEBUG size_x: 73
12:00:19 | root | DEBUG size_y: 201
12:00:19 | root | INFO GameStart: render again
12:00:19 | root | INFO Level2 | start run
12:00:23 | root | DEBUG spawn enemy
12:00:26 | root | DEBUG spawn enemy
12:00:27 | root | INFO player got hit! for 1 hp ( 9/10left )
12:00:30 | root | DEBUG spawn enemy
12:00:31 | root | INFO 0.010044
12:00:32 | root | INFO 0.010064
12:00:34 | root | DEBUG spawn enemy
12:00:35 | root | INFO player got hit! for 1 hp ( 8/10left )
12:00:38 | root | DEBUG spawn enemy
12:00:39 | root | INFO player got hit! for 1 hp ( 7/10left )
12:00:42 | root | DEBUG spawn enemy
12:00:45 | root | INFO player got hit! for 1 hp ( 6/10left )
12:00:46 | root | DEBUG spawn enemy
12:00:47 | root | INFO player got hit! for 1 hp ( 5/10left )
12:00:47 | root | INFO player got hit! for 1 hp ( 4/10left )
12:00:50 | root | DEBUG spawn enemy
12:00:53 | root | DEBUG spawn enemy
12:00:54 | root | INFO player got hit! for 1 hp ( 3/10left )
12:00:54 | root | INFO player got hit! for 1 hp ( 2/10left )
12:00:57 | root | DEBUG spawn enemy
12:01:01 | root | DEBUG spawn enemy
12:01:03 | root | INFO player got hit! for 1 hp ( 1/10left )
12:01:03 | root | DEBUG Start Closing Menu
12:01:05 | root | INFO player got hit! for 1 hp ( 0/10left )
12:01:05 | root | INFO Player dead!
12:01:05 | root | INFO Change screen!
12:01:05 | root | INFO GameStart: render again
12:01:05 | root | INFO MainMenu: start running
12:02:01 | root | INFO MainMenu: PLAY
12:02:01 | root | INFO Player created!
12:02:01 | root | DEBUG add Player movement
12:02:01 | root | DEBUG size_x: 73
12:02:01 | root | DEBUG size_y: 201
12:02:01 | root | INFO GameStart: render again
12:02:01 | root | INFO Level2 | start run
12:02:04 | root | DEBUG spawn enemy
12:02:08 | root | DEBUG spawn enemy
12:02:12 | root | DEBUG spawn enemy
12:02:13 | root | INFO player got hit! for 1 hp ( 9/10left )
12:02:14 | root | INFO player got hit! for 1 hp ( 8/10left )
12:02:16 | root | DEBUG spawn enemy
12:02:17 | root | INFO player got hit! for 1 hp ( 7/10left )
12:02:20 | root | DEBUG spawn enemy
12:02:21 | root | INFO 0.010195
12:02:23 | root | INFO Change screen!
12:02:23 | root | INFO Change screen!
12:02:23 | root | INFO GameStart: render again
12:02:23 | root | ERROR Backup: updating without a item to run!
12:08:29 | root | INFO MainMenu: start running
12:08:30 | root | INFO MainMenu: PLAY
12:08:30 | root | INFO Player created!
12:08:30 | root | DEBUG add Player movement
12:08:30 | root | DEBUG size_x: 73
12:08:30 | root | DEBUG size_y: 201
12:08:30 | root | INFO GameStart: render again
12:08:30 | root | INFO Level2 | start run
12:08:34 | root | INFO Change screen!
12:08:34 | root | INFO GameStart: render again
12:08:34 | root | ERROR Backup: updating without a item to run!
12:09:22 | root | INFO MainMenu: start running
12:09:33 | root | INFO MainMenu: PLAY
12:09:33 | root | INFO Player created!
12:09:33 | root | DEBUG add Player movement
12:09:33 | root | DEBUG size_x: 73
12:09:33 | root | DEBUG size_y: 201
12:09:33 | root | INFO GameStart: render again
12:09:33 | root | INFO Level2 | start run
12:09:37 | root | DEBUG spawn enemy
12:09:40 | root | DEBUG spawn enemy
12:09:44 | root | DEBUG spawn enemy
12:09:46 | root | INFO Change screen!
12:09:46 | root | INFO GameStart: render again
12:09:46 | root | ERROR Backup: updating without a item to run!
12:11:09 | root | INFO MainMenu: start running
12:11:12 | root | INFO MainMenu: QUITING
12:11:22 | root | INFO MainMenu: start running
12:11:31 | root | INFO MainMenu: QUITING
12:11:51 | root | INFO MainMenu: start running
12:11:54 | root | INFO MainMenu: PLAY
12:11:54 | root | INFO Player created!
12:11:54 | root | DEBUG add Player movement
12:11:54 | root | DEBUG size_x: 73
12:11:54 | root | DEBUG size_y: 201
12:11:54 | root | INFO GameStart: render again
12:11:54 | root | INFO Level2 | start run
12:11:58 | root | DEBUG spawn enemy
12:12:02 | root | DEBUG spawn enemy
12:12:05 | root | DEBUG spawn enemy
12:12:06 | root | INFO player got hit! for 1 hp ( 9/10left )
12:12:09 | root | DEBUG spawn enemy
12:12:12 | root | INFO player got hit! for 1 hp ( 8/10left )
12:12:13 | root | DEBUG spawn enemy
12:12:14 | root | INFO player got hit! for 1 hp ( 7/10left )
12:12:15 | root | INFO 0.01013
12:12:17 | root | DEBUG spawn enemy
12:12:17 | root | INFO player got hit! for 1 hp ( 6/10left )
12:12:21 | root | DEBUG spawn enemy
12:12:24 | root | INFO player got hit! for 1 hp ( 5/10left )
12:12:25 | root | INFO player got hit! for 1 hp ( 4/10left )
12:12:25 | root | DEBUG spawn enemy
12:12:26 | root | INFO player got hit! for 1 hp ( 3/10left )
12:12:29 | root | DEBUG spawn enemy
12:12:31 | root | INFO 0.010219
12:12:32 | root | DEBUG spawn enemy
12:12:33 | root | INFO player got hit! for 1 hp ( 2/10left )
12:12:36 | root | DEBUG spawn enemy
12:12:39 | root | INFO player got hit! for 1 hp ( 1/10left )
12:12:39 | root | INFO player got hit! for 1 hp ( 0/10left )
12:12:39 | root | INFO Player dead!
12:12:39 | root | INFO Change screen!
12:12:40 | root | INFO GameStart: render again
12:12:40 | root | INFO MainMenu: start running
12:12:49 | root | INFO Change screen!
12:12:49 | root | INFO MainMenu: QUITING
12:16:37 | root | INFO MainMenu: start running
12:16:38 | root | INFO MainMenu: PLAY
12:16:38 | root | INFO Player created!
12:16:39 | root | DEBUG add Player movement
12:16:39 | root | DEBUG size_x: 73
12:16:39 | root | DEBUG size_y: 201
12:16:39 | root | INFO GameStart: render again
12:16:39 | root | INFO Level2 | start run
12:16:42 | root | DEBUG spawn enemy
12:16:46 | root | DEBUG spawn enemy
12:16:50 | root | DEBUG spawn enemy
12:16:50 | root | INFO player got hit! for 1 hp ( 9/10left )
12:16:53 | root | DEBUG spawn enemy
12:16:54 | root | INFO player got hit! for 1 hp ( 8/10left )
12:16:56 | root | INFO player got hit! for 1 hp ( 7/10left )
12:16:57 | root | DEBUG spawn enemy
12:16:59 | root | INFO player got hit! for 1 hp ( 6/10left )
12:17:01 | root | DEBUG spawn enemy
12:17:02 | root | INFO 0.01003
12:17:04 | root | INFO player got hit! for 1 hp ( 5/10left )
12:17:04 | root | DEBUG spawn enemy
12:17:08 | root | DEBUG spawn enemy
12:17:10 | root | INFO player got hit! for 1 hp ( 4/10left )
12:17:12 | root | DEBUG spawn enemy
12:17:13 | root | INFO player got hit! for 1 hp ( 3/10left )
12:17:16 | root | DEBUG spawn enemy
12:17:16 | root | INFO player got hit! for 1 hp ( 2/10left )
12:17:19 | root | INFO player got hit! for 1 hp ( 1/10left )
12:17:19 | root | DEBUG spawn enemy
12:17:23 | root | DEBUG spawn enemy
12:17:24 | root | INFO player got hit! for 1 hp ( 0/10left )
12:17:24 | root | INFO Player dead!
12:17:24 | root | INFO Change screen!
12:17:24 | root | INFO GameStart: render again
12:17:24 | root | INFO MainMenu: start running
12:17:39 | root | INFO Change screen!
12:17:39 | root | INFO MainMenu: QUITING
12:17:49 | root | INFO MainMenu: start running
12:18:11 | root | INFO MainMenu: PLAY
12:18:11 | root | INFO Player created!
12:18:11 | root | DEBUG add Player movement
12:18:11 | root | DEBUG size_x: 73
12:18:11 | root | DEBUG size_y: 201
12:18:11 | root | INFO GameStart: render again
12:18:11 | root | INFO Level2 | start run
12:18:15 | root | DEBUG spawn enemy
12:18:19 | root | DEBUG spawn enemy
12:18:22 | root | INFO player got hit! for 1 hp ( 9/10left )
12:18:23 | root | DEBUG spawn enemy
12:18:26 | root | DEBUG spawn enemy
12:18:29 | root | INFO player got hit! for 1 hp ( 8/10left )
12:18:29 | root | INFO player got hit! for 1 hp ( 7/10left )
12:18:30 | root | DEBUG spawn enemy
12:18:33 | root | DEBUG spawn enemy
12:18:36 | root | INFO player got hit! for 1 hp ( 6/10left )
12:18:37 | root | DEBUG spawn enemy
12:18:39 | root | INFO player got hit! for 1 hp ( 5/10left )
12:18:41 | root | DEBUG spawn enemy
12:18:41 | root | INFO player got hit! for 1 hp ( 4/10left )
12:18:45 | root | DEBUG spawn enemy
12:18:47 | root | INFO player got hit! for 1 hp ( 3/10left )
12:18:49 | root | DEBUG spawn enemy
12:18:51 | root | INFO Change screen!
12:18:51 | root | INFO GameStart: render again
12:18:51 | root | ERROR Backup: updating without a item to run!
12:19:30 | root | INFO MainMenu: start running
12:19:42 | root | INFO MainMenu: PLAY
12:19:42 | root | INFO Player created!
12:19:42 | root | DEBUG add Player movement
12:19:42 | root | DEBUG size_x: 73
12:19:42 | root | DEBUG size_y: 201
12:19:42 | root | INFO GameStart: render again
12:19:42 | root | INFO Level2 | start run
12:19:46 | root | DEBUG spawn enemy
12:19:47 | root | DEBUG Start Closing Menu
12:19:49 | root | DEBUG spawn enemy
12:19:53 | root | DEBUG spawn enemy
12:19:53 | root | INFO player got hit! for 1 hp ( 9/10left )
12:19:54 | root | INFO player got hit! for 1 hp ( 8/10left )
12:19:56 | root | DEBUG spawn enemy
12:20:00 | root | DEBUG spawn enemy
12:20:02 | root | INFO player got hit! for 1 hp ( 7/10left )
12:20:03 | root | INFO player got hit! for 1 hp ( 6/10left )
12:20:04 | root | DEBUG spawn enemy
12:20:08 | root | DEBUG spawn enemy
12:20:11 | root | INFO player got hit! for 1 hp ( 5/10left )
12:20:11 | root | DEBUG spawn enemy
12:20:14 | root | INFO player got hit! for 1 hp ( 4/10left )
12:20:15 | root | DEBUG spawn enemy
12:20:15 | root | INFO MainMenu: start running
12:20:16 | root | INFO MainMenu: PLAY
12:20:16 | root | INFO Player created!
12:20:16 | root | DEBUG add Player movement
12:20:16 | root | DEBUG size_x: 73
12:20:16 | root | DEBUG size_y: 201
12:20:16 | root | INFO GameStart: render again
12:20:16 | root | INFO Level2 | start run
12:20:17 | root | INFO player got hit! for 1 hp ( 3/10left )
12:20:18 | root | DEBUG Start Closing Menu
12:20:19 | root | DEBUG spawn enemy
12:20:20 | root | DEBUG spawn enemy
12:20:21 | root | INFO player got hit! for 1 hp ( 2/10left )
12:20:22 | root | INFO 0.010024
12:20:23 | root | DEBUG spawn enemy
12:20:23 | root | DEBUG spawn enemy
12:20:26 | root | DEBUG spawn enemy
12:20:27 | root | INFO 0.010023
12:20:27 | root | DEBUG spawn enemy
12:20:28 | root | INFO player got hit! for 1 hp ( 9/10left )
12:20:30 | root | INFO player got hit! for 1 hp ( 1/10left )
12:20:30 | root | DEBUG spawn enemy
12:20:31 | root | DEBUG spawn enemy
12:20:31 | root | INFO player got hit! for 1 hp ( 0/10left )
12:20:31 | root | INFO Player dead!
12:20:31 | root | INFO Change screen!
12:20:31 | root | INFO GameStart: render again
12:20:31 | root | INFO MainMenu: start running
12:20:32 | root | INFO player got hit! for 1 hp ( 8/10left )
12:20:34 | root | DEBUG spawn enemy
12:20:35 | root | INFO player got hit! for 1 hp ( 7/10left )
12:20:35 | root | INFO 0.01029
12:20:35 | root | INFO 0.010372
12:20:38 | root | DEBUG spawn enemy
12:20:54 | root | INFO Change screen!
12:20:54 | root | INFO MainMenu: QUITING
12:23:34 | root | INFO MainMenu: start running
12:24:16 | root | INFO MainMenu: QUITING
12:24:57 | root | INFO MainMenu: start running
12:25:08 | root | INFO MainMenu: QUITING
12:25:13 | root | INFO MainMenu: start running
12:25:16 | root | INFO MainMenu: QUITING
12:25:24 | root | INFO MainMenu: start running
12:25:28 | root | INFO MainMenu: SETTING
12:25:28 | root | ERROR MainMenu: Change Screen without new Screen!
12:25:28 | root | INFO GameStart: render again
12:25:28 | root | ERROR Backup: updating without a item to run!
12:25:30 | root | INFO MainMenu: start running
12:25:31 | root | INFO MainMenu: PLAY
12:25:31 | root | INFO Player created!
12:25:31 | root | DEBUG add Player movement
12:25:31 | root | DEBUG size_x: 73
12:25:31 | root | DEBUG size_y: 201
12:25:31 | root | INFO GameStart: render again
12:25:31 | root | INFO Level2 | start run
12:25:35 | root | DEBUG spawn enemy
12:25:39 | root | DEBUG spawn enemy
12:25:43 | root | DEBUG spawn enemy
12:25:43 | root | INFO player got hit! for 1 hp ( 9/10left )
12:25:45 | root | INFO player got hit! for 1 hp ( 8/10left )
12:25:46 | root | DEBUG spawn enemy
12:25:50 | root | DEBUG spawn enemy
12:25:51 | root | INFO player got hit! for 1 hp ( 7/10left )
12:25:53 | root | DEBUG spawn enemy
12:25:54 | root | INFO Change screen!
12:25:54 | root | INFO GameStart: render again
12:25:54 | root | ERROR Backup: updating without a item to run!
12:26:07 | root | INFO MainMenu: start running
12:26:08 | root | INFO MainMenu: PLAY
12:26:08 | root | INFO Player created!
12:26:09 | root | DEBUG add Player movement
12:26:09 | root | DEBUG size_x: 73
12:26:09 | root | DEBUG size_y: 201
12:26:09 | root | INFO GameStart: render again
12:26:09 | root | INFO Level2 | start run
12:26:12 | root | DEBUG spawn enemy
12:26:16 | root | DEBUG spawn enemy
12:26:20 | root | DEBUG spawn enemy
12:26:20 | root | INFO player got hit! for 1 hp ( 9/10left )
12:26:24 | root | DEBUG spawn enemy
12:26:27 | root | INFO player got hit! for 1 hp ( 8/10left )
12:26:28 | root | DEBUG spawn enemy
12:26:30 | root | INFO player got hit! for 1 hp ( 7/10left )
12:26:31 | root | INFO player got hit! for 1 hp ( 6/10left )
12:26:32 | root | DEBUG spawn enemy
12:26:36 | root | DEBUG spawn enemy
12:26:37 | root | INFO player got hit! for 1 hp ( 5/10left )
12:26:39 | root | DEBUG spawn enemy
12:26:41 | root | INFO player got hit! for 1 hp ( 4/10left )
12:26:42 | root | INFO player got hit! for 1 hp ( 3/10left )
12:26:43 | root | DEBUG spawn enemy
12:26:47 | root | INFO player got hit! for 1 hp ( 2/10left )
12:26:47 | root | DEBUG spawn enemy
12:26:51 | root | DEBUG spawn enemy
12:26:53 | root | INFO player got hit! for 1 hp ( 1/10left )
12:26:55 | root | DEBUG spawn enemy
12:26:55 | root | INFO player got hit! for 1 hp ( 0/10left )
12:26:55 | root | INFO Player dead!
12:26:55 | root | INFO Change screen!
12:26:55 | root | INFO GameStart: render again
12:26:55 | root | INFO MainMenu: start running
12:26:57 | root | INFO MainMenu: PLAY
12:26:57 | root | INFO Player created!
12:26:57 | root | DEBUG add Player movement
12:26:57 | root | DEBUG size_x: 73
12:26:57 | root | DEBUG size_y: 201
12:26:57 | root | INFO GameStart: render again
12:26:57 | root | INFO Level2 | start run
12:27:01 | root | DEBUG spawn enemy
12:27:04 | root | DEBUG spawn enemy
12:27:08 | root | DEBUG spawn enemy
12:27:09 | root | INFO player got hit! for 1 hp ( 9/10left )
12:27:12 | root | DEBUG spawn enemy
12:27:14 | root | INFO player got hit! for 1 hp ( 8/10left )
12:27:14 | root | INFO player got hit! for 1 hp ( 7/10left )
12:27:16 | root | DEBUG spawn enemy
12:27:20 | root | DEBUG spawn enemy
12:27:24 | root | DEBUG spawn enemy
12:27:25 | root | INFO player got hit! for 1 hp ( 6/10left )
12:27:25 | root | INFO player got hit! for 1 hp ( 5/10left )
12:27:27 | root | DEBUG spawn enemy
12:27:31 | root | DEBUG spawn enemy
12:27:32 | root | INFO player got hit! for 1 hp ( 4/10left )
12:27:35 | root | DEBUG spawn enemy
12:27:38 | root | INFO player got hit! for 1 hp ( 3/10left )
12:27:39 | root | DEBUG spawn enemy
12:27:40 | root | INFO player got hit! for 1 hp ( 2/10left )
12:27:43 | root | INFO player got hit! for 1 hp ( 1/10left )
12:27:43 | root | DEBUG spawn enemy
12:27:46 | root | INFO player got hit! for 1 hp ( 0/10left )
12:27:46 | root | INFO Player dead!
12:27:46 | root | INFO Change screen!
12:27:46 | root | INFO GameStart: render again
12:27:46 | root | INFO MainMenu: start running
12:43:12 | root | INFO Change screen!
12:43:12 | root | INFO Change screen!
12:43:20 | root | INFO Change screen!
12:43:20 | root | INFO Change screen!
12:43:20 | root | INFO MainMenu: QUITING
12:43:26 | root | INFO MainMenu: start running
12:43:27 | root | INFO MainMenu: PLAY
12:43:27 | root | INFO Player created!
12:43:27 | root | DEBUG add Player movement
12:43:27 | root | DEBUG size_x: 73
12:43:27 | root | DEBUG size_y: 201
12:43:27 | root | INFO GameStart: render again
12:43:27 | root | INFO Level2 | start run
12:43:30 | root | INFO Change screen!
12:43:30 | root | INFO GameStart: render again
12:43:30 | root | ERROR Backup: updating without a item to run!
12:43:37 | root | INFO MainMenu: start running
12:43:38 | root | INFO MainMenu: PLAY
12:43:38 | root | INFO Player created!
12:43:38 | root | DEBUG add Player movement
12:43:38 | root | DEBUG size_x: 73
12:43:38 | root | DEBUG size_y: 201
12:43:38 | root | INFO GameStart: render again
12:43:38 | root | INFO Level2 | start run
12:43:41 | root | DEBUG spawn enemy
12:43:45 | root | DEBUG spawn enemy
12:43:48 | root | INFO Change screen!
12:43:48 | root | INFO GameStart: render again
12:43:48 | root | ERROR Backup: updating without a item to run!
12:44:07 | root | INFO MainMenu: start running
12:44:08 | root | INFO MainMenu: PLAY
12:44:08 | root | INFO Player created!
12:44:08 | root | DEBUG add Player movement
12:44:08 | root | DEBUG size_x: 73
12:44:08 | root | DEBUG size_y: 201
12:44:08 | root | INFO GameStart: render again
12:44:08 | root | INFO Level2 | start run
12:44:09 | root | INFO Change screen!
12:44:09 | root | INFO GameStart: render again
12:44:09 | root | ERROR Backup: updating without a item to run!
12:44:14 | root | INFO MainMenu: start running
12:44:14 | root | INFO MainMenu: PLAY
12:44:14 | root | INFO Player created!
12:44:14 | root | DEBUG add Player movement
12:44:14 | root | DEBUG size_x: 73
12:44:14 | root | DEBUG size_y: 201
12:44:14 | root | INFO GameStart: render again
12:44:14 | root | INFO Level2 | start run
12:44:15 | root | INFO Change screen!
12:44:15 | root | INFO GameStart: render again
12:44:15 | root | ERROR Backup: updating without a item to run!
12:44:20 | root | INFO MainMenu: start running
12:44:20 | root | INFO MainMenu: PLAY
12:44:20 | root | INFO Player created!
12:44:21 | root | DEBUG add Player movement
12:44:21 | root | DEBUG size_x: 73
12:44:21 | root | DEBUG size_y: 201
12:44:21 | root | INFO GameStart: render again
12:44:21 | root | INFO Level2 | start run
12:44:21 | root | INFO Change screen!
12:44:21 | root | INFO GameStart: render again
12:44:21 | root | ERROR Backup: updating without a item to run!
12:45:09 | root | INFO MainMenu: start running
12:45:09 | root | INFO MainMenu: PLAY
12:45:09 | root | INFO Player created!
12:45:09 | root | DEBUG add Player movement
12:45:09 | root | DEBUG size_x: 73
12:45:09 | root | DEBUG size_y: 201
12:45:09 | root | INFO GameStart: render again
12:45:09 | root | INFO Level2 | start run
12:45:13 | root | DEBUG spawn enemy
12:45:17 | root | DEBUG spawn enemy
12:45:19 | root | INFO player got hit! for 1 hp ( 9/10left )
12:45:20 | root | DEBUG spawn enemy
12:45:24 | root | DEBUG spawn enemy
12:45:24 | root | INFO player got hit! for 1 hp ( 8/10left )
12:45:28 | root | DEBUG spawn enemy
12:45:30 | root | INFO player got hit! for 1 hp ( 7/10left )
12:45:31 | root | DEBUG spawn enemy
12:45:33 | root | INFO player got hit! for 1 hp ( 6/10left )
12:45:35 | root | INFO player got hit! for 1 hp ( 5/10left )
12:45:35 | root | DEBUG spawn enemy
12:45:39 | root | INFO player got hit! for 1 hp ( 4/10left )
12:45:39 | root | DEBUG spawn enemy
12:45:42 | root | DEBUG spawn enemy
12:45:44 | root | INFO player got hit! for 1 hp ( 3/10left )
12:45:46 | root | INFO player got hit! for 1 hp ( 2/10left )
12:45:46 | root | DEBUG spawn enemy
12:45:50 | root | INFO player got hit! for 1 hp ( 1/10left )
12:45:50 | root | DEBUG spawn enemy
12:45:53 | root | DEBUG spawn enemy
12:45:54 | root | INFO player got hit! for 1 hp ( 0/10left )
12:45:54 | root | INFO Player dead!
12:45:54 | root | INFO Change screen!
12:45:54 | root | INFO GameStart: render again
12:45:54 | root | INFO MainMenu: start running
12:45:55 | root | INFO MainMenu: PLAY
12:45:55 | root | INFO Player created!
12:45:55 | root | DEBUG add Player movement
12:45:55 | root | DEBUG size_x: 73
12:45:55 | root | DEBUG size_y: 201
12:45:55 | root | INFO GameStart: render again
12:45:55 | root | INFO Level2 | start run
12:45:59 | root | DEBUG spawn enemy
12:46:02 | root | DEBUG spawn enemy
12:46:06 | root | DEBUG spawn enemy
12:46:07 | root | INFO player got hit! for 1 hp ( 9/10left )
12:46:07 | root | INFO 0.010224
12:46:08 | root | INFO player got hit! for 1 hp ( 8/10left )
12:46:09 | root | DEBUG spawn enemy
12:46:13 | root | DEBUG spawn enemy
12:46:14 | root | INFO player got hit! for 1 hp ( 7/10left )
12:46:15 | root | INFO player got hit! for 1 hp ( 6/10left )
12:46:16 | root | DEBUG spawn enemy
12:46:20 | root | DEBUG spawn enemy
12:46:22 | root | INFO player got hit! for 1 hp ( 5/10left )
12:46:22 | root | INFO Change screen!
12:46:22 | root | INFO Change screen!
12:46:22 | root | INFO GameStart: render again
12:46:22 | root | ERROR Backup: updating without a item to run!
12:48:02 | root | INFO MainMenu: start running
12:48:03 | root | INFO MainMenu: PLAY
12:48:03 | root | INFO Player created!
12:48:03 | root | DEBUG add Player movement
12:48:03 | root | DEBUG size_x: 73
12:48:03 | root | DEBUG size_y: 201
12:49:06 | root | INFO MainMenu: start running
12:49:06 | root | INFO MainMenu: PLAY
12:49:06 | root | INFO Player created!
12:49:06 | root | DEBUG add Player movement
12:49:06 | root | DEBUG size_x: 73
12:49:06 | root | DEBUG size_y: 201
12:49:06 | root | INFO GameStart: render again
12:49:06 | root | INFO Level2 | start run
12:49:10 | root | DEBUG spawn enemy
12:49:14 | root | DEBUG spawn enemy
12:49:15 | root | INFO Change screen!
12:49:15 | root | INFO GameStart: render again
12:49:15 | root | ERROR Backup: updating without a item to run!
12:49:23 | root | INFO MainMenu: start running
12:49:23 | root | INFO MainMenu: PLAY
12:49:23 | root | INFO Player created!
12:49:23 | root | DEBUG add Player movement
12:49:23 | root | DEBUG size_x: 73
12:49:23 | root | DEBUG size_y: 201
12:49:23 | root | INFO GameStart: render again
12:49:23 | root | INFO Level2 | start run
12:49:25 | root | INFO Change screen!
12:49:25 | root | INFO GameStart: render again
12:49:25 | root | ERROR Backup: updating without a item to run!
12:49:42 | root | INFO MainMenu: start running
12:49:42 | root | INFO MainMenu: PLAY
12:49:42 | root | INFO Player created!
12:49:42 | root | DEBUG add Player movement
12:49:42 | root | DEBUG size_x: 73
12:49:42 | root | DEBUG size_y: 201
12:49:42 | root | INFO GameStart: render again
12:49:42 | root | INFO Level2 | start run
12:50:42 | root | INFO MainMenu: start running
12:50:42 | root | INFO MainMenu: PLAY
12:50:42 | root | INFO Player created!
12:50:42 | root | DEBUG add Player movement
